n,knob_mf,knob_sl,knob_sf,knob_ift,knob_sft,knob_dt,time,error
1249,500,8,1.1,20,7,20,0.0416916395,0.088851
1250,500,8,1.1,20,7,60,0.033800466,0.086533
1251,500,8,1.1,20,3,40,0.0522639104,0.097589
1252,500,8,1.1,20,3,20,0.049512644,0.095104
1253,500,8,1.1,20,3,60,0.0404315272,0.090672
1254,500,8,1.1,20,15,40,0.035746458,0.099112
1255,500,8,1.1,20,15,20,0.0384036156,0.092346
1256,500,8,1.1,20,15,60,0.031439593,0.096463
1257,500,8,1.1,10,7,40,0.0411973447,0.100575
1258,500,8,1.1,10,7,20,0.0427665952,0.093028
1259,500,8,1.1,10,7,60,0.033599119,0.081562
1260,500,8,1.1,10,3,40,0.0528672971,0.095836
1261,500,8,1.1,10,3,20,0.0500537517,0.07925
1262,500,8,1.1,10,3,60,0.0374507132,0.096553
1263,500,8,1.1,30,7,40,0.0447832324,0.094731
1264,500,8,1.1,30,7,20,0.0413673095,0.093461
1265,500,8,1.1,30,7,60,0.0335240703,0.09681
1266,500,8,1.1,30,3,40,0.0532468277,0.096291
1267,500,8,1.1,30,3,20,0.0508078118,0.091839
1268,500,8,1.1,30,3,60,0.0380109252,0.086301
1269,500,8,1.1,30,15,40,0.0373595351,0.100656
1270,500,8,1.1,30,15,20,0.0358710635,0.101955
1271,500,8,1.1,30,15,60,0.0309052902,0.098547
1272,500,8,1.3,20,7,40,0.0365535941,0.098111
1273,500,8,1.3,20,7,20,0.0293933685,0.604504
1274,500,8,1.3,20,7,60,0.0313291893,0.09056
1275,500,8,1.3,20,3,40,0.0467474456,0.102348
1276,500,8,1.3,20,3,20,0.0433782551,0.095333
1277,500,8,1.3,20,3,60,0.0321579229,0.094365
1278,500,8,1.3,20,15,40,0.0351389909,0.099469
1279,500,8,1.3,20,15,20,0.0347349807,0.108867
1280,500,8,1.3,20,15,60,0.0286899274,0.083504
1281,500,8,1.3,10,7,40,0.0410858968,0.097497
1282,500,8,1.3,10,7,20,0.0395033832,0.093824
1283,500,8,1.3,10,7,60,0.0320995839,0.090416
1284,500,8,1.3,10,3,40,0.0487095646,0.099096
1285,500,8,1.3,10,3,20,0.0441700522,0.09172
1286,500,8,1.3,10,3,60,0.0360228526,0.097001
1287,500,8,1.3,30,7,40,0.0378993946,0.106239
1288,500,8,1.3,30,7,20,0.0357896463,0.104746
1289,500,8,1.3,30,7,60,0.0294832596,0.093176
1290,500,8,1.3,30,3,40,0.0482028424,0.09796
1291,500,8,1.3,30,3,20,0.0445364864,0.095284
1292,500,8,1.3,30,3,60,0.032951873,0.08632
1293,500,8,1.3,30,15,40,0.0217434093,0.740384
